2020-12-26/23:24:53		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-12-26/23:24:55		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-12-26/23:24:56		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-12-26/23:24:57		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-12-26/23:24:58		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-12-26/23:24:58		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-12-26/23:24:59		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-12-26/23:24:59		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-12-26/23:24:59		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-12-27/13:34:48		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-12-27/13:34:49		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-12-27/13:34:50		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-12-27/13:34:51		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-12-27/13:34:53		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-12-27/13:34:53		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-12-27/13:34:53		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-12-27/13:34:54		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-12-27/13:34:55		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-12-28/11:49:32		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-12-28/11:49:33		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-12-28/11:49:34		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-12-28/11:49:35		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-12-28/11:49:37		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-12-28/11:49:38		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-12-28/11:49:38		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-12-28/11:49:39		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-12-28/11:49:39		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-12-28/18:15:23		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-12-28/18:15:24		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-12-28/18:15:25		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-12-28/18:15:26		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-12-28/18:15:28		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-12-28/18:15:28		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-12-28/18:15:29		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-12-28/18:15:29		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-12-28/18:15:29		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-05-08/19:51:01		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-05-08/19:51:02		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-05-08/19:51:02		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-05-08/19:51:03		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-05-08/19:51:04		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-05-08/19:51:05		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-05-08/19:51:05		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-05-08/19:51:06		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-05-08/19:51:06		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-05-08/20:06:59		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-05-08/20:07:00		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-05-08/20:07:00		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-05-08/20:07:02		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-05-08/20:07:03		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-05-08/20:07:03		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-05-08/20:07:03		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-05-08/20:07:04		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-05-08/20:07:04		 wafer_27012020_080911.csv: File Transformed successfully!!
