,columns,missing values count
0,Sensor - 1,6
1,Sensor - 2,18
2,Sensor - 3,78
3,Sensor - 4,78
4,Sensor - 5,78
5,Sensor - 6,78
6,Sensor - 7,78
7,Sensor - 8,48
8,Sensor - 9,12
9,Sensor - 10,12
10,Sensor - 11,12
11,Sensor - 12,12
12,Sensor - 13,12
13,Sensor - 14,18
14,Sensor - 15,18
15,Sensor - 16,18
16,Sensor - 17,18
17,Sensor - 18,18
18,Sensor - 19,18
19,Sensor - 20,0
20,Sensor - 21,0
21,Sensor - 22,6
22,Sensor - 23,6
23,Sensor - 24,6
24,Sensor - 25,6
25,Sensor - 26,6
26,Sensor - 27,6
27,Sensor - 28,6
28,Sensor - 29,6
29,Sensor - 30,6
30,Sensor - 31,6
31,Sensor - 32,6
32,Sensor - 33,0
33,Sensor - 34,0
34,Sensor - 35,0
35,Sensor - 36,0
36,Sensor - 37,0
37,Sensor - 38,0
38,Sensor - 39,0
39,Sensor - 40,0
40,Sensor - 41,84
41,Sensor - 42,84
42,Sensor - 43,0
43,Sensor - 44,0
44,Sensor - 45,0
45,Sensor - 46,0
46,Sensor - 47,0
47,Sensor - 48,0
48,Sensor - 49,0
49,Sensor - 50,0
50,Sensor - 51,0
51,Sensor - 52,0
52,Sensor - 53,0
53,Sensor - 54,6
54,Sensor - 55,6
55,Sensor - 56,6
56,Sensor - 57,6
57,Sensor - 58,6
58,Sensor - 59,6
59,Sensor - 60,30
60,Sensor - 61,30
61,Sensor - 62,30
62,Sensor - 63,30
63,Sensor - 64,30
64,Sensor - 65,30
65,Sensor - 66,30
66,Sensor - 67,30
67,Sensor - 68,30
68,Sensor - 69,30
69,Sensor - 70,30
70,Sensor - 71,30
71,Sensor - 72,30
72,Sensor - 73,3180
73,Sensor - 74,3180
74,Sensor - 75,30
75,Sensor - 76,144
76,Sensor - 77,144
77,Sensor - 78,144
78,Sensor - 79,144
79,Sensor - 80,144
80,Sensor - 81,144
81,Sensor - 82,144
82,Sensor - 83,144
83,Sensor - 84,6
84,Sensor - 85,12
85,Sensor - 86,3666
86,Sensor - 87,0
87,Sensor - 88,0
88,Sensor - 89,0
89,Sensor - 90,306
90,Sensor - 91,306
91,Sensor - 92,30
92,Sensor - 93,12
93,Sensor - 94,12
94,Sensor - 95,30
95,Sensor - 96,30
96,Sensor - 97,30
97,Sensor - 98,30
98,Sensor - 99,30
99,Sensor - 100,30
100,Sensor - 101,30
101,Sensor - 102,30
102,Sensor - 103,30
103,Sensor - 104,12
104,Sensor - 105,12
105,Sensor - 106,30
106,Sensor - 107,30
107,Sensor - 108,30
108,Sensor - 109,30
109,Sensor - 110,1728
110,Sensor - 111,1728
111,Sensor - 112,1728
112,Sensor - 113,3342
113,Sensor - 114,0
114,Sensor - 115,0
115,Sensor - 116,0
116,Sensor - 117,0
117,Sensor - 118,0
118,Sensor - 119,144
119,Sensor - 120,0
120,Sensor - 121,0
121,Sensor - 122,18
122,Sensor - 123,18
123,Sensor - 124,18
